plant_variety,repeat,fungusID,condition,experimental_replication,EVALUATION,DS,SBSX
NK28P6xF,1,HS03,inplanta,1,7DAI,3.25,2.068181818
NK28P6xF,2,HS03,inplanta,1,7DAI,4.444444444,3.154121864
NK28P6xF,3,HS03,inplanta,1,7DAI,6.25,3.3203125
NK008-PXF,1,HS03,inplanta,1,7DAI,2.88,1.351836735
NK008-PXF,2,HS03,inplanta,1,7DAI,4.08,1.557818182
NK008-PXF,3,HS03,inplanta,1,7DAI,1.48,0.770833333
S-26-E-3,1,HS03,inplanta,1,7DAI,2.96,1.603333333
S-26-E-3,2,HS03,inplanta,1,7DAI,5.9375,3.778409091
S-26-E-3,3,HS03,inplanta,1,7DAI,5.68,4.214193548
William82,1,HS03,inplanta,1,7DAI,7.6875,4.697916667
William82,2,HS03,inplanta,1,7DAI,3.25,1.710526316
William82,3,HS03,inplanta,1,7DAI,3.555555556,1.986928105
NK28P6XF,1,HS08,inplanta,1,7DAI,2.9375,1.900735294
NK28P6XF,2,HS08,inplanta,1,7DAI,1.0625,0.973958333
NK28P6XF,3,HS08,inplanta,1,7DAI,4.88,3.753846154
NK008PXF,1,HS08,inplanta,1,7DAI,2.8125,1.430921053
NK008PXF,2,HS08,inplanta,1,7DAI,6.25,3.273809524
NK008PXF,3,HS08,inplanta,1,7DAI,,
S-26-E-3,1,HS08,inplanta,1,7DAI,2.84,1.775
S-26-E-3,2,HS08,inplanta,1,7DAI,5.2,3.364705882
S-26-E-3,3,HS08,inplanta,1,7DAI,5,3.103448276
William82,1,HS08,inplanta,1,7DAI,5,3.846153846
William82,2,HS08,inplanta,1,7DAI,10.3125,5.671875
William82,3,HS08,inplanta,1,7DAI,7.777777778,7
NK28P6XF,1,HS02,inplanta,1,7DAI,5,2.857142857
NK28P6XF,2,HS02,inplanta,1,7DAI,2.9375,1.65234375
NK28P6XF,3,HS02,inplanta,1,7DAI,1.25,1
NK008PXF,1,HS02,inplanta,1,7DAI,2.68,1.5008
NK008PXF,2,HS02,inplanta,1,7DAI,1.444444444,0.751111111
NK008PXF,3,HS02,inplanta,1,7DAI,1.472222222,0.916049383
S-26-E-3,1,HS02,inplanta,1,7DAI,4.88,2.44
S-26-E-3,2,HS02,inplanta,1,7DAI,3.84,2.605714286
S-26-E-3,3,HS02,inplanta,1,7DAI,1.625,0.9140625
William82,1,HS02,inplanta,1,7DAI,3.5,2.293103448
William82,2,HS02,inplanta,1,7DAI,3.8125,2.006578947
William82,3,HS02,inplanta,1,7DAI,3.25,2.407407407
NK28P6XF,1,HS10,inplanta,1,7DAI,0.9375,0.517241379
NK28P6XF,2,HS10,inplanta,1,7DAI,1.666666667,1.212121212
